Player,Pos,Age,Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,AST,STL,TOV,PTS,Total Points
Precious Achiuwa,C,23,TOR,3.6,7.3,0.485,0.5,2.0,0.269,3.0,5.4,0.564,1.6,2.3,0.702,1.8,0.9,0.6,1.1,9.2,10.649
Steven Adams,C,29,MEM,3.7,6.3,0.597,0.0,0.0,0.0,3.7,6.2,0.599,1.1,3.1,0.364,5.1,2.3,0.9,1.9,8.6,13.367999999999999
Bam Adebayo,C,25,MIA,8.0,14.9,0.54,0.0,0.2,0.083,8.0,14.7,0.545,4.3,5.4,0.806,2.5,3.2,1.2,2.5,20.4,21.755
Ochai Agbaji,SG,22,UTA,2.8,6.5,0.427,1.4,3.9,0.355,1.4,2.7,0.532,0.9,1.2,0.812,0.7,1.1,0.3,0.7,7.9,8.266
Santi Aldama,PF,22,MEM,3.2,6.8,0.47,1.2,3.5,0.353,2.0,3.4,0.591,1.4,1.9,0.75,1.1,1.3,0.6,0.8,9.0,10.068
Nickeil Alexander-Walker,SG,24,TOT,2.2,5.0,0.444,1.0,2.7,0.384,1.2,2.3,0.515,0.7,1.0,0.667,0.3,1.8,0.5,0.9,6.2,5.994000000000001
Grayson Allen,SG,27,MIL,3.4,7.7,0.44,2.0,5.1,0.399,1.4,2.7,0.518,1.6,1.8,0.905,0.8,2.3,0.9,1.0,10.4,11.229000000000001
Jarrett Allen,C,24,CLE,5.9,9.2,0.644,0.0,0.1,0.1,5.9,9.1,0.653,2.4,3.3,0.733,3.3,1.7,0.8,1.4,14.3,17.404000000000003
Jose Alvarado,PG,24,NOP,3.3,8.0,0.411,1.4,4.0,0.336,1.9,4.0,0.488,1.1,1.3,0.813,0.5,3.0,1.1,1.3,9.0,9.46
Kyle Anderson,PF,29,MIN,3.7,7.2,0.509,0.6,1.5,0.41,3.0,5.7,0.536,1.4,2.0,0.735,1.0,4.9,1.1,1.5,9.4,9.92
Giannis Antetokounmpo,PF,28,MIL,11.2,20.3,0.553,0.7,2.7,0.275,10.5,17.6,0.596,7.9,12.3,0.645,2.2,5.7,0.8,3.9,31.1,30.031000000000006
Thanasis Antetokounmpo,PF,30,MIL,0.5,1.2,0.435,0.0,0.2,0.0,0.5,1.0,0.526,0.3,0.6,0.5,0.4,0.4,0.1,0.3,1.4,1.542
Cole Anthony,PG,22,ORL,4.6,10.2,0.454,1.3,3.4,0.364,3.4,6.7,0.5,2.5,2.8,0.894,0.8,3.9,0.6,1.5,13.0,13.108999999999998
OG Anunoby,SF,25,TOR,6.3,13.2,0.476,2.1,5.5,0.387,4.2,7.7,0.539,2.1,2.5,0.838,1.4,2.0,1.9,2.0,16.8,18.337
Ryan Arcidiacono,PG,28,TOT,0.5,1.9,0.243,0.4,1.2,0.348,0.1,0.7,0.071,0.0,0.0,,0.0,1.2,0.3,0.4,1.3,1.2850000000000001
Deni Avdija,SF,22,WAS,3.3,7.6,0.437,0.9,3.1,0.297,2.4,4.6,0.53,1.6,2.2,0.739,1.0,2.8,0.9,1.6,9.2,9.475
Deandre Ayton,C,24,PHO,7.8,13.2,0.589,0.1,0.4,0.292,7.7,12.9,0.597,2.3,3.0,0.76,2.6,1.7,0.6,1.8,18.0,19.688000000000002
Udoka Azubuike,C,23,UTA,1.6,2.0,0.819,0.0,0.0,,1.6,2.0,0.819,0.2,0.6,0.35,0.9,0.3,0.2,0.5,3.5,4.117
Marvin Bagley III,C,23,DET,4.8,9.1,0.529,0.5,1.6,0.288,4.4,7.5,0.579,1.9,2.6,0.75,2.2,0.9,0.5,1.1,12.0,14.106
Patrick Baldwin Jr.,SF,20,GSW,1.4,3.5,0.394,1.0,2.7,0.381,0.4,0.8,0.44,0.1,0.2,0.667,0.0,0.4,0.2,0.4,3.9,3.67
LaMelo Ball,PG,21,CHO,8.2,20.0,0.411,4.0,10.6,0.376,4.2,9.4,0.45,2.8,3.4,0.836,1.2,8.4,1.3,3.6,23.3,21.971
Mo Bamba,C,24,TOT,2.4,4.9,0.485,1.0,2.5,0.387,1.4,2.4,0.59,0.8,1.3,0.661,1.2,0.9,0.3,0.6,6.6,7.671000000000001
Paolo Banchero,PF,20,ORL,6.7,15.6,0.427,1.2,4.0,0.298,5.5,11.6,0.471,5.5,7.4,0.738,1.2,3.7,0.8,2.8,20.0,19.216
Desmond Bane,SG,24,MEM,7.8,16.2,0.479,2.9,7.0,0.408,4.9,9.2,0.534,3.1,3.5,0.883,0.7,4.4,1.0,2.2,21.5,21.046
Dalano Banton,PG,23,TOR,1.8,4.2,0.423,0.5,1.6,0.294,1.3,2.5,0.506,0.5,0.8,0.708,0.4,1.2,0.4,0.6,4.6,4.841999999999999
Dominick Barlow,PF,19,SAS,1.6,3.1,0.535,0.0,0.1,0.0,1.6,2.9,0.561,0.6,0.9,0.72,1.6,0.9,0.4,0.5,3.9,5.573
Harrison Barnes,PF,30,SAC,4.6,9.6,0.473,1.6,4.3,0.374,3.0,5.3,0.553,4.3,5.0,0.847,1.1,1.6,0.7,1.0,15.0,16.053000000000004
Scottie Barnes,SF,21,TOR,6.0,13.2,0.456,0.8,2.9,0.281,5.2,10.3,0.505,2.5,3.2,0.772,2.3,4.8,1.1,2.0,15.3,16.979
RJ Barrett,SG,22,NYK,7.0,16.1,0.434,1.7,5.3,0.31,5.3,10.8,0.495,4.0,5.4,0.74,0.8,2.8,0.4,2.2,19.6,18.573999999999998
Will Barton,SG,32,TOT,2.5,6.5,0.379,1.2,3.2,0.367,1.3,3.3,0.391,0.7,0.8,0.787,0.3,2.0,0.5,0.9,6.8,6.794
Charles Bassey,C,22,SAS,2.5,3.9,0.644,0.1,0.2,0.375,2.4,3.6,0.661,0.6,1.1,0.595,2.1,1.3,0.5,1.2,5.7,7.372999999999998
Keita Bates-Diop,PF,27,SAS,3.5,6.9,0.508,0.8,2.1,0.394,2.7,4.8,0.557,1.8,2.2,0.793,1.0,1.5,0.7,0.8,9.7,10.665000000000001
Nicolas Batum,PF,34,LAC,2.1,4.9,0.42,1.6,4.1,0.391,0.5,0.8,0.563,0.4,0.6,0.708,0.8,1.6,0.7,0.6,6.1,7.259
Darius Bazley,C,22,TOT,1.9,4.3,0.454,0.5,1.2,0.377,1.5,3.0,0.485,0.9,1.6,0.543,0.8,0.9,0.5,0.6,5.2,6.229000000000001
Bradley Beal,SG,29,WAS,8.9,17.6,0.506,1.6,4.4,0.365,7.3,13.2,0.552,3.8,4.6,0.842,0.8,5.4,0.9,2.9,23.2,21.843999999999998
Malik Beasley,SG,26,TOT,4.6,11.6,0.395,2.9,8.1,0.357,1.7,3.4,0.484,0.6,0.8,0.769,0.4,1.5,0.8,1.1,12.7,12.826999999999998
MarJon Beauchamp,SF,22,MIL,1.8,4.7,0.395,0.9,2.7,0.331,0.9,1.9,0.485,0.5,0.7,0.73,0.7,0.7,0.4,0.9,5.1,5.2509999999999994
Dāvis Bertāns,PF,30,DAL,1.5,3.6,0.431,1.2,3.1,0.39,0.3,0.4,0.737,0.3,0.3,0.867,0.2,0.5,0.2,0.2,4.6,4.735999999999999
Patrick Beverley,SG-PG,34,TOT,2.1,5.4,0.4,1.2,3.6,0.335,1.0,1.8,0.529,0.7,1.0,0.723,0.7,2.9,0.9,0.9,6.2,7.1259999999999994
Saddiq Bey,SF,23,TOT,4.6,10.9,0.422,2.0,5.4,0.361,2.6,5.4,0.483,2.7,3.1,0.861,1.3,1.5,0.9,0.9,13.8,15.433999999999997
Khem Birch,C,30,TOR,1.0,1.6,0.594,0.1,0.1,0.5,0.9,1.5,0.6,0.2,0.3,0.8,0.4,0.4,0.3,0.4,2.2,2.657
Goga Bitadze,C,23,TOT,1.8,3.3,0.552,0.2,0.7,0.231,1.7,2.6,0.636,0.6,1.1,0.548,1.6,1.0,0.4,0.6,4.4,6.257999999999999
Bismack Biyombo,C,30,PHO,2.0,3.4,0.578,0.0,0.0,,2.0,3.4,0.578,0.4,1.1,0.357,1.5,0.9,0.3,0.8,4.3,5.595
Buddy Boeheim,SF,23,DET,0.5,2.7,0.185,0.4,2.5,0.16,0.1,0.2,0.5,0.2,0.2,1.0,0.2,0.4,0.2,0.0,1.6,2.066
Bogdan Bogdanović,SG,30,ATL,5.1,11.3,0.447,2.7,6.7,0.406,2.4,4.6,0.506,1.2,1.4,0.831,0.4,2.8,0.8,1.2,14.0,14.112000000000002
Bojan Bogdanović,PF,33,DET,7.3,14.9,0.488,2.5,6.0,0.411,4.8,9.0,0.539,4.5,5.1,0.884,0.6,2.6,0.6,2.3,21.6,20.353
Bol Bol,PF,23,ORL,3.7,6.8,0.546,0.4,1.6,0.265,3.3,5.2,0.633,1.2,1.5,0.759,1.0,1.0,0.4,1.6,9.1,8.8
Leandro Bolmaro,SF,22,UTA,0.2,1.4,0.15,0.0,0.3,0.0,0.2,1.1,0.188,0.0,0.0,,0.3,0.5,0.2,0.5,0.4,0.40900000000000003
Devin Booker,SG,26,PHO,9.9,20.1,0.494,2.1,6.0,0.351,7.8,14.2,0.554,5.8,6.8,0.855,0.9,5.5,1.0,2.7,27.8,26.807
Brandon Boston Jr.,SF,21,LAC,2.3,5.5,0.418,0.5,1.3,0.414,1.8,4.2,0.419,1.3,1.7,0.763,0.3,0.9,0.4,0.5,6.5,6.638999999999999
Chris Boucher,PF,30,TOR,3.4,7.0,0.493,0.8,2.5,0.328,2.6,4.5,0.585,1.7,2.2,0.762,2.1,0.4,0.6,0.5,9.4,11.893
James Bouknight,SG,22,CHO,2.0,5.7,0.358,1.0,3.2,0.303,1.1,2.5,0.429,0.6,0.9,0.667,0.2,1.2,0.4,0.9,5.6,5.460999999999999
Jamaree Bouyea,PG,23,TOT,1.2,2.8,0.429,0.4,1.2,0.333,0.8,1.6,0.5,0.2,0.4,0.5,0.2,0.8,0.8,0.8,3.0,3.2360000000000007
