,name,position,draft_year,height,college,birthPlace,birthDate,draft_team,draft_pick,highSchool
0,Alaa Abdelnaby,Power Forward,1990,6-10,Duke University,"Cairo, Egypt","June 24, 1968",Portland Trail Blazers,25th overall,"Bloomfield in Bloomfield, New Jersey"
1,Zaid Abdul-Aziz,Power Forward and Center,1968,6-9,Iowa State University,"Brooklyn, New York","April 7, 1946",Cincinnati Royals,5th overall,"John Jay in Brooklyn, New York"
2,Kareem Abdul-Jabbar,Center,1969,7-2,"University of California, Los Angeles","New York, New York","April 16, 1947",Milwaukee Bucks,1st overall,"Power Memorial in New York, New York"
3,Mahmoud Abdul-Rauf,Point Guard,1990,6-1,Louisiana State University,"Gulfport, Mississippi","March 9, 1969",Denver Nuggets,3rd overall,"Gulfport in Gulfport, Mississippi"
4,Tariq Abdul-Wahad,Shooting Guard,1997,6-6,"University of Michigan, San Jose State University","Maisons Alfort, France","November 3, 1974",Sacramento Kings,11th overall,"Lycee Aristide Briand in Evreux, France"
5,Shareef Abdur-Rahim,Center and Small Forward and Power Forward,1996,6-9,University of California,"Marietta, Georgia","December 11, 1976",Vancouver Grizzlies,3rd overall,"Wheeler in Marietta, Georgia"
6,Tom Abernethy,Small Forward and Power Forward,1976,6-7,Indiana University,"South Bend, Indiana","May 6, 1954",Los Angeles Lakers,43rd overall,"Saint Joseph in South Bend, Indiana"
10,Alex Acker,Shooting Guard,2005,6-5,Pepperdine University,"Compton, California","January 21, 1983",Detroit Pistons,60th overall,"Eisenhower in Rialto, California"
12,Mark Acres,Center,1985,6-11,Oral Roberts University,"Inglewood, California","November 15, 1962",Dallas Mavericks,40th overall,"Palos Verdes in Palos Verdes Estates, California"
14,Quincy Acy,Power Forward and Small Forward,2012,6-7,Baylor University,"Tyler, Texas","October 6, 1990",Toronto Raptors,37th overall,"Mesquite Horn in Mesquite, Texas"
15,Alvan Adams,Center and Power Forward,1975,6-9,University of Oklahoma,"Lawrence, Kansas","July 19, 1954",Phoenix Suns,4th overall,"Putnam City in Warr Acres, Oklahoma"
16,Don Adams,Small Forward,1970,6-6,Northwestern University,"Atlanta, Georgia","November 27, 1947",San Diego Rockets,120th overall,"South Fulton in South Fulton, Georgia"
18,Hassan Adams,Shooting Guard,2006,6-4,University of Arizona,"Inglewood, California","June 20, 1984",New Jersey Nets,54th overall,"Westchester in Los Angeles, California"
20,Jordan Adams,Shooting Guard,2014,6-5,"University of California, Los Angeles","Atlanta, Georgia","July 8, 1994",Memphis Grizzlies,22nd overall,"Oak Hill Academy in Mouth of Wilson, Virginia"
21,Michael Adams,Point Guard,1985,5-10,Boston College,"Hartford, Connecticut","January 19, 1963",Sacramento Kings,66th overall,"Hartford Public in Hartford, Connecticut"
22,Steven Adams,Center,2013,7-0,University of Pittsburgh,"Rotorua, New Zealand","July 20, 1993",Oklahoma City Thunder,12th overall,"Notre Dame Preparatory School in Fitchburg, Massachusetts"
23,Rafael Addison,Small Forward,1986,6-7,Syracuse University,"Jersey City, New Jersey","July 22, 1964",Phoenix Suns,39th overall,"Snyder in Jersey City, New Jersey"
24,Bam Adebayo,Center,2017,6-10,University of Kentucky,"Newark, New Jersey","July 18, 1997",Miami Heat,14th overall,"High Point Christian Academy in High Point, North Carolina"
26,Rick Adelman,Point Guard,1968,6-1,Loyola Marymount University,"Lynwood, California","June 16, 1946",San Diego Rockets,79th overall,"Saint Pius X in Downey, California"
28,Arron Afflalo,Shooting Guard and Small Forward,2007,6-5,"University of California, Los Angeles","Los Angeles, California","October 15, 1985",Detroit Pistons,27th overall,"Centennial in Compton, California"
29,Maurice Ager,Shooting Guard,2006,6-5,Michigan State University,"Detroit, Michigan","February 9, 1984",Dallas Mavericks,28th overall,"Crocket in Detroit, Michigan"
30,Mark Aguirre,Small Forward,1981,6-6,DePaul University,"Chicago, Illinois","December 10, 1959",Dallas Mavericks,1st overall,"George Westinghouse in Chicago, Illinois"
32,Danny Ainge,Shooting Guard and Point Guard,1981,6-4,Brigham Young University,"Eugene, Oregon","March 17, 1959",Boston Celtics,31st overall,"Eugene in North Eugene, Oregon"
33,Matthew Aitch,Power Forward,1967,6-7,Michigan State University,"St. Louis, Missouri","September 21, 1944",Detroit Pistons,135th overall,"Maplewood-Richmond Heights in Maplewood, Missouri"
38,Solomon Alabi,Center,2010,7-1,Florida State University,"Kaduna, Nigeria","March 21, 1988",Dallas Mavericks,50th overall,"Montverde Academy in Montverde, Florida"
39,Mark Alarie,Power Forward,1986,6-8,Duke University,"Phoenix, Arizona","December 11, 1963",Denver Nuggets,18th overall,"Brophy College Preparatory in Phoenix, Arizona"
42,Cole Aldrich,Center,2010,6-11,University of Kansas,"Burnsville, Minnesota","October 31, 1988",New Orleans Hornets,11th overall,"Thomas Jefferson in Bloomington, Minnesota"
43,LaMarcus Aldridge,Power Forward and Center,2006,6-11,University of Texas at Austin,"Dallas, Texas","July 19, 1985",Chicago Bulls,2nd overall,"Seagoville in Seagoville, Texas"
